Date,Growth Rate,Sector
Jul to Sep 2006,4.3,Private sector - total
Aug to Oct 2006,4.3,Private sector - total
Sep to Nov 2006,4.5,Private sector - total
Oct to Dec 2006,5.3,Private sector - total
Nov to Jan 2007,6.1,Private sector - total
Dec to Feb 2007,7.2,Private sector - total
Jan to Mar 2007,6.5,Private sector - total
Feb to Apr 2007,5.7,Private sector - total
Mar to May 2007,4.7,Private sector - total
Apr to Jun 2007,4.7,Private sector - total
May to Jul 2007,4.9,Private sector - total
Jun to Aug 2007,5.1,Private sector - total
Jul to Sep 2007,5.7,Private sector - total
Aug to Oct 2007,5.4,Private sector - total
Sep to Nov 2007,5.3,Private sector - total
Oct to Dec 2007,4.3,Private sector - total
Nov to Jan 2008,4.1,Private sector - total
Dec to Feb 2008,3.8,Private sector - total
Jan to Mar 2008,4.4,Private sector - total
Feb to Apr 2008,4.7,Private sector - total
Mar to May 2008,4.8,Private sector - total
Apr to Jun 2008,4.3,Private sector - total
May to Jul 2008,3.8,Private sector - total
Jun to Aug 2008,3.2,Private sector - total
Jul to Sep 2008,2.8,Private sector - total
Aug to Oct 2008,2.9,Private sector - total
Sep to Nov 2008,2.6,Private sector - total
Oct to Dec 2008,2.6,Private sector - total
Nov to Jan 2009,1.9,Private sector - total
Dec to Feb 2009,-0.5,Private sector - total
Jan to Mar 2009,-3.5,Private sector - total
Feb to Apr 2009,-3.6,Private sector - total
Mar to May 2009,-1.8,Private sector - total
Apr to Jun 2009,0.3,Private sector - total
May to Jul 2009,-0.1,Private sector - total
Jun to Aug 2009,-0.2,Private sector - total
Jul to Sep 2009,-0.4,Private sector - total
Aug to Oct 2009,-0.5,Private sector - total
Sep to Nov 2009,-0.6,Private sector - total
Oct to Dec 2009,-0.5,Private sector - total
Nov to Jan 2010,-0.3,Private sector - total
Dec to Feb 2010,1.8,Private sector - total
Jan to Mar 2010,4.3,Private sector - total
Feb to Apr 2010,4.2,Private sector - total
Mar to May 2010,2.5,Private sector - total
Apr to Jun 2010,0.1,Private sector - total
May to Jul 2010,0.7,Private sector - total
Jun to Aug 2010,1,Private sector - total
Jul to Sep 2010,1.7,Private sector - total
Aug to Oct 2010,1.8,Private sector - total
Sep to Nov 2010,1.9,Private sector - total
Oct to Dec 2010,1.6,Private sector - total
Nov to Jan 2011,2.5,Private sector - total
Dec to Feb 2011,2.3,Private sector - total
Jan to Mar 2011,2.7,Private sector - total
Feb to Apr 2011,1.9,Private sector - total
Mar to May 2011,2.2,Private sector - total
Apr to Jun 2011,2.5,Private sector - total
May to Jul 2011,2.7,Private sector - total
Jun to Aug 2011,2.6,Private sector - total
Jul to Sep 2011,2.1,Private sector - total
Aug to Oct 2011,1.9,Private sector - total
Sep to Nov 2011,2,Private sector - total
Oct to Dec 2011,2.2,Private sector - total
Nov to Jan 2012,1.3,Private sector - total
Dec to Feb 2012,0.9,Private sector - total
Jan to Mar 2012,0.5,Private sector - total
Feb to Apr 2012,1.4,Private sector - total
Mar to May 2012,1.7,Private sector - total
Apr to Jun 2012,1.9,Private sector - total
May to Jul 2012,1.7,Private sector - total
Jun to Aug 2012,1.8,Private sector - total
Jul to Sep 2012,1.8,Private sector - total
Aug to Oct 2012,1.6,Private sector - total
Sep to Nov 2012,1.4,Private sector - total
Oct to Dec 2012,1.2,Private sector - total
Nov to Jan 2013,1.1,Private sector - total
Dec to Feb 2013,1.1,Private sector - total
Jan to Mar 2013,0.5,Private sector - total
Feb to Apr 2013,1.6,Private sector - total
Mar to May 2013,1.8,Private sector - total
Apr to Jun 2013,2.5,Private sector - total
May to Jul 2013,1.4,Private sector - total
Jun to Aug 2013,1.1,Private sector - total
Jul to Sep 2013,1,Private sector - total
Aug to Oct 2013,1.1,Private sector - total
Sep to Nov 2013,1.1,Private sector - total
Oct to Dec 2013,1.3,Private sector - total
Nov to Jan 2014,1.5,Private sector - total
Dec to Feb 2014,2.1,Private sector - total
Jan to Mar 2014,1.8,Private sector - total
Feb to Apr 2014,0.6,Private sector - total
Mar to May 2014,-0.1,Private sector - total
Apr to Jun 2014,0.1,Private sector - total
May to Jul 2014,0.8,Private sector - total
Jun to Aug 2014,1,Private sector - total
Jul to Sep 2014,1,Private sector - total
Aug to Oct 2014,1.7,Private sector - total
Sep to Nov 2014,2.1,Private sector - total
Oct to Dec 2014,2.4,Private sector - total
Nov to Jan 2015,2.2,Private sector - total
Dec to Feb 2015,2,Private sector - total
Jan to Mar 2015,2.8,Private sector - total
Feb to Apr 2015,3.3,Private sector - total
Mar to May 2015,3.7,Private sector - total
Apr to Jun 2015,2.8,Private sector - total
May to Jul 2015,3.2,Private sector - total
Jun to Aug 2015,3.4,Private sector - total
Jul to Sep 2015,3.3,Private sector - total
Aug to Oct 2015,2.6,Private sector - total
Sep to Nov 2015,2.1,Private sector - total
Oct to Dec 2015,2.1,Private sector - total
Nov to Jan 2016,2.4,Private sector - total
Dec to Feb 2016,2.2,Private sector - total
Jan to Mar 2016,2.5,Private sector - total
Feb to Apr 2016,2.3,Private sector - total
Mar to May 2016,2.7,Private sector - total
Apr to Jun 2016,2.6,Private sector - total
May to Jul 2016,2.6,Private sector - total
Jun to Aug 2016,2.5,Private sector - total
Jul to Sep 2016,2.6,Private sector - total
Aug to Oct 2016,2.7,Private sector - total
Sep to Nov 2016,3,Private sector - total
Oct to Dec 2016,2.7,Private sector - total
Nov to Jan 2017,2.3,Private sector - total
Dec to Feb 2017,2.3,Private sector - total
Jan to Mar 2017,2.4,Private sector - total
Feb to Apr 2017,2.5,Private sector - total
Mar to May 2017,2.1,Private sector - total
Apr to Jun 2017,2.5,Private sector - total
May to Jul 2017,2.3,Private sector - total
Jun to Aug 2017,2.5,Private sector - total
Jul to Sep 2017,2.4,Private sector - total
Aug to Oct 2017,2.7,Private sector - total
Sep to Nov 2017,2.6,Private sector - total
Oct to Dec 2017,2.7,Private sector - total
Nov to Jan 2018,2.8,Private sector - total
Dec to Feb 2018,2.9,Private sector - total
Jan to Mar 2018,2.9,Private sector - total
Feb to Apr 2018,2.8,Private sector - total
Mar to May 2018,2.8,Private sector - total
Apr to Jun 2018,2.2,Private sector - total
May to Jul 2018,2.6,Private sector - total
Jun to Aug 2018,2.9,Private sector - total
Jul to Sep 2018,3.2,Private sector - total
Aug to Oct 2018,3.5,Private sector - total
Sep to Nov 2018,3.5,Private sector - total
Oct to Dec 2018,3.6,Private sector - total
Nov to Jan 2019,3.5,Private sector - total
Dec to Feb 2019,3.7,Private sector - total
Jan to Mar 2019,3.4,Private sector - total
Feb to Apr 2019,3.4,Private sector - total
Mar to May 2019,3.4,Private sector - total
Apr to Jun 2019,3.9,Private sector - total
May to Jul 2019,3.9,Private sector - total
Jun to Aug 2019,3.9,Private sector - total
Jul to Sep 2019,3.9,Private sector - total
Aug to Oct 2019,3.3,Private sector - total
Sep to Nov 2019,3.1,Private sector - total
Oct to Dec 2019,2.6,Private sector - total
Nov to Jan 2020,2.9,Private sector - total
Dec to Feb 2020,2.7,Private sector - total
Jan to Mar 2020,2.3,Private sector - total
Feb to Apr 2020,0.6,Private sector - total
Mar to May 2020,-1.2,Private sector - total
Apr to Jun 2020,-2.5,Private sector - total
May to Jul 2020,-2.1,Private sector - total
Jun to Aug 2020,-0.7,Private sector - total
Jul to Sep 2020,0.9,Private sector - total
Aug to Oct 2020,2.4,Private sector - total
Sep to Nov 2020,3.6,Private sector - total
Oct to Dec 2020,4.5,Private sector - total
Nov to Jan 2021,4.7,Private sector - total
Dec to Feb 2021,4.3,Private sector - total
Jan to Mar 2021,3.8,Private sector - total
Feb to Apr 2021,5.7,Private sector - total
Mar to May 2021,8.1,Private sector - total
Apr to Jun 2021,10.5,Private sector - total
May to Jul 2021,9.8,Private sector - total
Jun to Aug 2021,8.2,Private sector - total
Jul to Sept 2021,6.6,Private sector - total
Aug to Oct 2021,5.5,Private sector - total
Sept to Nov 2021,4.6,Private sector - total
Oct to Dec 2021,5.1,Private sector - total
Nov to Jan 2022,5.5,Private sector - total
Dec to Feb 2022,6.5,Private sector - total
Jan to Mar 2022,8.1,Private sector - total
Feb to Apr 2022,8,Private sector - total
Mar to May 2022,7.4,Private sector - total
Apr to Jun 2022,6,Private sector - total
May to July 2022,6.3,Private sector - total
Jun to Aug 2022,6.8,Private sector - total
Jan to Mar 2001,3.2,Public sector - total
Feb to Apr 2001,4.2,Public sector - total
Mar to May 2001,5.3,Public sector - total
Apr to Jun 2001,5.8,Public sector - total
May to Jul 2001,5.8,Public sector - total
Jun to Aug 2001,6,Public sector - total
Jul to Sep 2001,6.2,Public sector - total
Aug to Oct 2001,6.2,Public sector - total
Sep to Nov 2001,5.7,Public sector - total
Oct to Dec 2001,5.5,Public sector - total
Nov to Jan 2002,5.1,Public sector - total
Dec to Feb 2002,4.9,Public sector - total
Jan to Mar 2002,4.6,Public sector - total
Feb to Apr 2002,4.2,Public sector - total
Mar to May 2002,4,Public sector - total
Apr to Jun 2002,3.7,Public sector - total
May to Jul 2002,3.8,Public sector - total
Jun to Aug 2002,3.3,Public sector - total
Jul to Sep 2002,3.2,Public sector - total
Aug to Oct 2002,3,Public sector - total
Sep to Nov 2002,3.7,Public sector - total
Oct to Dec 2002,4.3,Public sector - total
Nov to Jan 2003,4.5,Public sector - total
Dec to Feb 2003,4.5,Public sector - total
Jan to Mar 2003,4.2,Public sector - total
Feb to Apr 2003,4.3,Public sector - total
Mar to May 2003,4.1,Public sector - total
Apr to Jun 2003,4.4,Public sector - total
May to Jul 2003,4.4,Public sector - total
Jun to Aug 2003,5.3,Public sector - total
Jul to Sep 2003,5.5,Public sector - total
Aug to Oct 2003,5.6,Public sector - total
Sep to Nov 2003,5,Public sector - total
Oct to Dec 2003,4.7,Public sector - total
Nov to Jan 2004,4.6,Public sector - total
Dec to Feb 2004,4.6,Public sector - total
Jan to Mar 2004,4.5,Public sector - total
Feb to Apr 2004,4.6,Public sector - total
Mar to May 2004,4.7,Public sector - total
Apr to Jun 2004,4.6,Public sector - total
May to Jul 2004,4.3,Public sector - total
Jun to Aug 2004,3.9,Public sector - total
Jul to Sep 2004,3.8,Public sector - total
Aug to Oct 2004,4.1,Public sector - total
Sep to Nov 2004,4.4,Public sector - total
Oct to Dec 2004,4.4,Public sector - total
Nov to Jan 2005,4.6,Public sector - total
Dec to Feb 2005,4.5,Public sector - total
Jan to Mar 2005,4.9,Public sector - total
Feb to Apr 2005,5,Public sector - total
Mar to May 2005,5.4,Public sector - total
Apr to Jun 2005,5.4,Public sector - total
May to Jul 2005,5.5,Public sector - total
Jun to Aug 2005,5.6,Public sector - total
Jul to Sep 2005,5.7,Public sector - total
Aug to Oct 2005,5.5,Public sector - total
Sep to Nov 2005,5.2,Public sector - total
Oct to Dec 2005,4.9,Public sector - total
Nov to Jan 2006,4.8,Public sector - total
Dec to Feb 2006,4.9,Public sector - total
Jan to Mar 2006,4.5,Public sector - total
Feb to Apr 2006,4.2,Public sector - total
Mar to May 2006,3.5,Public sector - total
Apr to Jun 2006,3.6,Public sector - total
May to Jul 2006,3.5,Public sector - total
Jun to Aug 2006,3.3,Public sector - total
Jul to Sep 2006,3,Public sector - total
Aug to Oct 2006,2.8,Public sector - total
Sep to Nov 2006,2.8,Public sector - total
Oct to Dec 2006,2.9,Public sector - total
Nov to Jan 2007,3.2,Public sector - total
Dec to Feb 2007,3.1,Public sector - total
Jan to Mar 2007,3.3,Public sector - total
Feb to Apr 2007,3.1,Public sector - total
Mar to May 2007,3.5,Public sector - total
Apr to Jun 2007,3.4,Public sector - total
May to Jul 2007,3.3,Public sector - total
Jun to Aug 2007,3.2,Public sector - total
Jul to Sep 2007,3.2,Public sector - total
Aug to Oct 2007,3.3,Public sector - total
Sep to Nov 2007,3.3,Public sector - total
Oct to Dec 2007,3.2,Public sector - total
Nov to Jan 2008,3.2,Public sector - total
Dec to Feb 2008,3.3,Public sector - total
Jan to Mar 2008,3.4,Public sector - total
Feb to Apr 2008,3.8,Public sector - total
Mar to May 2008,3.7,Public sector - total
Apr to Jun 2008,3.4,Public sector - total
May to Jul 2008,3.4,Public sector - total
Jun to Aug 2008,3.5,Public sector - total
Jul to Sep 2008,3.9,Public sector - total
Aug to Oct 2008,3.7,Public sector - total
Sep to Nov 2008,3.7,Public sector - total
Oct to Dec 2008,3.5,Public sector - total
Nov to Jan 2009,3.3,Public sector - total
Dec to Feb 2009,3.1,Public sector - total
Jan to Mar 2009,2.7,Public sector - total
Feb to Apr 2009,2.7,Public sector - total
Mar to May 2009,2.6,Public sector - total
Apr to Jun 2009,3.3,Public sector - total
May to Jul 2009,3.4,Public sector - total
Jun to Aug 2009,3.7,Public sector - total
Jul to Sep 2009,3.6,Public sector - total
Aug to Oct 2009,3.7,Public sector - total
Sep to Nov 2009,3.8,Public sector - total
Oct to Dec 2009,3.6,Public sector - total
Nov to Jan 2010,3.7,Public sector - total
Dec to Feb 2010,3.7,Public sector - total
Jan to Mar 2010,4.5,Public sector - total
Feb to Apr 2010,4.3,Public sector - total
Mar to May 2010,4.4,Public sector - total
Apr to Jun 2010,3.6,Public sector - total
May to Jul 2010,3.4,Public sector - total
Jun to Aug 2010,2.9,Public sector - total
Jul to Sep 2010,2.7,Public sector - total
Aug to Oct 2010,2.8,Public sector - total
Sep to Nov 2010,2.8,Public sector - total
Oct to Dec 2010,3.2,Public sector - total
Nov to Jan 2011,3.4,Public sector - total
Dec to Feb 2011,3.4,Public sector - total
Jan to Mar 2011,3.1,Public sector - total
Feb to Apr 2011,2.8,Public sector - total
Mar to May 2011,2.6,Public sector - total
Apr to Jun 2011,2.8,Public sector - total
May to Jul 2011,3.1,Public sector - total
Jun to Aug 2011,3.1,Public sector - total
Jul to Sep 2011,2.6,Public sector - total
Aug to Oct 2011,2.1,Public sector - total
Sep to Nov 2011,1.9,Public sector - total
Oct to Dec 2011,1.6,Public sector - total
Nov to Jan 2012,1.2,Public sector - total
Dec to Feb 2012,1.1,Public sector - total
Jan to Mar 2012,1,Public sector - total
Feb to Apr 2012,1.2,Public sector - total
Mar to May 2012,1.3,Public sector - total
Apr to Jun 2012,1.3,Public sector - total
May to Jul 2012,1.2,Public sector - total
Jun to Aug 2012,1.9,Public sector - total
Jul to Sep 2012,2.3,Public sector - total
Aug to Oct 2012,2.7,Public sector - total
Sep to Nov 2012,2.1,Public sector - total
Oct to Dec 2012,2,Public sector - total
Nov to Jan 2013,2,Public sector - total
Dec to Feb 2013,1.7,Public sector - total
Jan to Mar 2013,1.4,Public sector - total
Feb to Apr 2013,1.3,Public sector - total
Mar to May 2013,1.4,Public sector - total
Apr to Jun 2013,0.9,Public sector - total
May to Jul 2013,0.4,Public sector - total
Jun to Aug 2013,-0.5,Public sector - total
Jul to Sep 2013,-0.6,Public sector - total
Aug to Oct 2013,-0.7,Public sector - total
Sep to Nov 2013,-0.2,Public sector - total
Oct to Dec 2013,-0.1,Public sector - total
Nov to Jan 2014,-0.1,Public sector - total
Dec to Feb 2014,0.1,Public sector - total
Jan to Mar 2014,0.7,Public sector - total
Feb to Apr 2014,0.7,Public sector - total
Mar to May 2014,0.5,Public sector - total
Apr to Jun 2014,0.4,Public sector - total
May to Jul 2014,0.7,Public sector - total
Jun to Aug 2014,1,Public sector - total
Jul to Sep 2014,0.8,Public sector - total
Aug to Oct 2014,0.7,Public sector - total
Sep to Nov 2014,0.7,Public sector - total
Oct to Dec 2014,0.8,Public sector - total
Nov to Jan 2015,0.8,Public sector - total
Dec to Feb 2015,0.9,Public sector - total
Jan to Mar 2015,0.3,Public sector - total
Feb to Apr 2015,0.4,Public sector - total
Mar to May 2015,0.4,Public sector - total
Apr to Jun 2015,0.9,Public sector - total
May to Jul 2015,0.9,Public sector - total
Jun to Aug 2015,1,Public sector - total
Jul to Sep 2015,1.3,Public sector - total
Aug to Oct 2015,1.4,Public sector - total
Sep to Nov 2015,1.5,Public sector - total
Oct to Dec 2015,1.3,Public sector - total
Nov to Jan 2016,1.4,Public sector - total
Dec to Feb 2016,1.3,Public sector - total
Jan to Mar 2016,1.5,Public sector - total
Feb to Apr 2016,1.6,Public sector - total
Mar to May 2016,1.6,Public sector - total
Apr to Jun 2016,1.8,Public sector - total
May to Jul 2016,1.6,Public sector - total
Jun to Aug 2016,1.8,Public sector - total
Jul to Sep 2016,1.5,Public sector - total
Aug to Oct 2016,1.5,Public sector - total
Sep to Nov 2016,1.3,Public sector - total
Oct to Dec 2016,1.5,Public sector - total
Nov to Jan 2017,1.4,Public sector - total
Dec to Feb 2017,1.3,Public sector - total
Jan to Mar 2017,1.2,Public sector - total
Feb to Apr 2017,1.1,Public sector - total
Mar to May 2017,1.4,Public sector - total
Apr to Jun 2017,1.3,Public sector - total
May to Jul 2017,1.6,Public sector - total
Jun to Aug 2017,1.5,Public sector - total
Jul to Sep 2017,1.7,Public sector - total
Aug to Oct 2017,1.9,Public sector - total
Sep to Nov 2017,1.9,Public sector - total
Oct to Dec 2017,2,Public sector - total
Nov to Jan 2018,2,Public sector - total
Dec to Feb 2018,2.3,Public sector - total
Jan to Mar 2018,2.4,Public sector - total
Feb to Apr 2018,2.4,Public sector - total
Mar to May 2018,2.1,Public sector - total
Apr to Jun 2018,2.2,Public sector - total
May to Jul 2018,2.4,Public sector - total
Jun to Aug 2018,2.8,Public sector - total
Jul to Sep 2018,2.8,Public sector - total
Aug to Oct 2018,2.7,Public sector - total
Sep to Nov 2018,2.7,Public sector - total
Oct to Dec 2018,2.8,Public sector - total
Nov to Jan 2019,2.8,Public sector - total
Dec to Feb 2019,2.6,Public sector - total
Jan to Mar 2019,2.5,Public sector - total
Feb to Apr 2019,3.1,Public sector - total
Mar to May 2019,3.6,Public sector - total
Apr to Jun 2019,4,Public sector - total
May to Jul 2019,3.8,Public sector - total
Jun to Aug 2019,3.5,Public sector - total
Jul to Sep 2019,3.3,Public sector - total
Aug to Oct 2019,3.1,Public sector - total
Sep to Nov 2019,3.3,Public sector - total
Oct to Dec 2019,3.3,Public sector - total
Nov to Jan 2020,3.2,Public sector - total
Dec to Feb 2020,3.3,Public sector - total
Jan to Mar 2020,3.3,Public sector - total
Feb to Apr 2020,3.3,Public sector - total
Mar to May 2020,3.7,Public sector - total
Apr to Jun 2020,4.1,Public sector - total
May to Jul 2020,4.1,Public sector - total
Jun to Aug 2020,3.8,Public sector - total
Jul to Sep 2020,3.8,Public sector - total
Aug to Oct 2020,4.1,Public sector - total
Sep to Nov 2020,4.4,Public sector - total
Oct to Dec 2020,4.4,Public sector - total
Nov to Jan 2021,4.8,Public sector - total
Dec to Feb 2021,5.1,Public sector - total
Jan to Mar 2021,5.4,Public sector - total
Feb to Apr 2021,4.9,Public sector - total
Mar to May 2021,4,Public sector - total
Apr to Jun 2021,2.9,Public sector - total
May to Jul 2021,2.6,Public sector - total
Jun to Aug 2021,2.6,Public sector - total
Jul to Sept 2021,2.7,Public sector - total
Aug to Oct 2021,2.7,Public sector - total
Sept to Nov 2021,2.5,Public sector - total
Oct to Dec 2021,2.6,Public sector - total
Nov to Jan 2022,2.3,Public sector - total
Dec to Feb 2022,1.9,Public sector - total
Jan to Mar 2022,1.6,Public sector - total
Feb to Apr 2022,1.5,Public sector - total
Mar to May 2022,1.5,Public sector - total
Apr to Jun 2022,1.8,Public sector - total
May to July 2022,2,Public sector - total
Jun to Aug 2022,2.4,Public sector - total
