ISO3,Year,democracy_eiu,Country,GDP,Region,Regime,Sources
CMR,2021,2.56,Cameroon,45338283345,Sub-Saharan Africa,Authoritarian Regime,
CAN,2021,8.87,Canada,1.99E+12,North America,Full Democracy,
CPV,2021,7.65,Cabo Verde,1936174043,Sub-Saharan Africa,Flawed Democracy,
CAF,2021,1.43,Central African Republic,2516498299,Sub-Saharan Africa,Authoritarian Regime,
TCD,2021,1.67,Chad,11779980802,Sub-Saharan Africa,Authoritarian Regime,
CHL,2021,7.92,Chile,3.17E+11,Latin America & Caribbean,Flawed Democracy,
CHN,2021,2.21,China,1.77E+13,East Asia & Pacific,Authoritarian Regime,
COL,2021,6.48,Colombia,3.14E+11,Latin America & Caribbean,Flawed Democracy,
COM,2021,3.2,Comoros,1296089633,Sub-Saharan Africa,Authoritarian Regime,
COG,2021,2.79,Congo,13366230220,Sub-Saharan Africa,Authoritarian Regime,
CRI,2021,8.07,Costa Rica,64282438667,Latin America & Caribbean,Full Democracy,
CIV,2021,4.22,C™te d'Ivoire,70043191477,Sub-Saharan Africa,Hybrid Regime,
HRV,2021,6.5,Croatia,68955083280,Europe & Central Asia,Flawed Democracy,
CUB,2021,2.59,Cuba,,Latin America & Caribbean,Authoritarian Regime,
CYP,2021,7.43,Cyprus,28407867534,Europe & Central Asia,Flawed Democracy,
CZE,2021,7.74,Czechia,2.82E+11,Europe & Central Asia,Flawed Democracy,
COD,2021,1.4,"Congo, Democratic Republic of the",55350968593,Sub-Saharan Africa,Authoritarian Regime,
DNK,2021,9.09,Denmark,3.98E+11,Europe & Central Asia,Full Democracy,
DJI,2021,2.74,Djibouti,3482987379,Middle East & North Africa,Authoritarian Regime,
DOM,2021,6.45,Dominican Republic,94243453937,Latin America & Caribbean,Flawed Democracy,
ECU,2021,5.71,Ecuador,1.06E+11,Latin America & Caribbean,Hybrid Regime,
EGY,2021,2.93,Egypt,4.04E+11,Middle East & North Africa,Authoritarian Regime,
SLV,2021,5.72,El Salvador,28736940000,Latin America & Caribbean,Hybrid Regime,
GNQ,2021,1.92,Equatorial Guinea,12269392840,Sub-Saharan Africa,Authoritarian Regime,
ERI,2021,2.03,Eritrea,,Sub-Saharan Africa,Authoritarian Regime,
EST,2021,7.84,Estonia,37191166152,Europe & Central Asia,Flawed Democracy,
SWZ,2021,3.08,Eswatini,4743335153,Sub-Saharan Africa,Authoritarian Regime,
ETH,2021,3.3,Ethiopia,1.11E+11,Sub-Saharan Africa,Authoritarian Regime,
FJI,2021,5.61,Fiji,4296304590,East Asia & Pacific,Hybrid Regime,
FIN,2021,9.27,Finland,2.97E+11,Europe & Central Asia,Full Democracy,
FRA,2021,7.99,France,2.96E+12,Europe & Central Asia,Flawed Democracy,
GAB,2021,3.4,Gabon,20216843174,Sub-Saharan Africa,Authoritarian Regime,
GMB,2021,4.41,"Gambia, The",2038417462,Sub-Saharan Africa,Hybrid Regime,
GEO,2021,5.12,Georgia,18629365597,Europe & Central Asia,Hybrid Regime,
DEU,2021,8.67,Germany,4.26E+12,Europe & Central Asia,Full Democracy,
GHA,2021,6.5,Ghana,77594279055,Sub-Saharan Africa,Flawed Democracy,
GRC,2021,7.56,Greece,2.15E+11,Europe & Central Asia,Flawed Democracy,
GTM,2021,4.62,Guatemala,85985752107,Latin America & Caribbean,Hybrid Regime,
GIN,2021,2.28,Guinea,16091817842,Sub-Saharan Africa,Authoritarian Regime,
GNB,2021,2.75,Guinea-Bissau,1638517533,Sub-Saharan Africa,Authoritarian Regime,
GUY,2021,6.25,Guyana,8044498801,Latin America & Caribbean,Flawed Democracy,
HTI,2021,3.48,Haiti,20944392615,Latin America & Caribbean,Authoritarian Regime,
HND,2021,5.1,Honduras,28488668302,Latin America & Caribbean,Hybrid Regime,
HKG,2021,5.6,"Hong Kong SAR, China",3.69E+11,East Asia & Pacific,Hybrid Regime,
HUN,2021,6.5,Hungary,1.82E+11,Europe & Central Asia,Flawed Democracy,
ISL,2021,9.18,Iceland,25602419210,Europe & Central Asia,Full Democracy,
IND,2021,6.91,India,3.18E+12,South Asia,Flawed Democracy,
IDN,2021,6.71,Indonesia,1.19E+12,East Asia & Pacific,Flawed Democracy,
IRN,2021,1.95,Iran (Islamic Republic of),3.60E+11,Middle East & North Africa,Authoritarian Regime,
IRQ,2021,3.51,Iraq,2.08E+11,Middle East & North Africa,Authoritarian Regime,
IRL,2021,9,Ireland,5.04E+11,Europe & Central Asia,Full Democracy,
ISR,2021,7.97,Israel,4.89E+11,Middle East & North Africa,Flawed Democracy,
ITA,2021,7.68,Italy,2.11E+12,Europe & Central Asia,Flawed Democracy,
JAM,2021,7.13,Jamaica,14657586937,Latin America & Caribbean,Flawed Democracy,
JPN,2021,8.15,Japan,4.94E+12,East Asia & Pacific,Full Democracy,
JOR,2021,3.49,Jordan,45744271659,Middle East & North Africa,Authoritarian Regime,
KAZ,2021,3.08,Kazakhstan,1.97E+11,Europe & Central Asia,Authoritarian Regime,
KEN,2021,5.05,Kenya,1.10E+11,Sub-Saharan Africa,Hybrid Regime,
KWT,2021,3.91,Kuwait,,Middle East & North Africa,Authoritarian Regime,
KGZ,2021,3.62,Kyrgyzstan,8543423503,Europe & Central Asia,Authoritarian Regime,
LAO,2021,1.77,Lao People's Democratic Republic,18827148510,East Asia & Pacific,Authoritarian Regime,
LVA,2021,7.31,Latvia,39853501580,Europe & Central Asia,Flawed Democracy,
LBN,2021,3.84,Lebanon,23131940281,Middle East & North Africa,Authoritarian Regime,
LSO,2021,6.3,Lesotho,2496134680,Sub-Saharan Africa,Flawed Democracy,
LBR,2021,5.43,Liberia,3509000000,Sub-Saharan Africa,Hybrid Regime,
LBY,2021,1.95,Libya,42817472975,Middle East & North Africa,Authoritarian Regime,
LTU,2021,7.18,Lithuania,66445256585,Europe & Central Asia,Flawed Democracy,
LUX,2021,8.68,Luxembourg,85506243834,Europe & Central Asia,Full Democracy,
MDG,2021,5.7,Madagascar,14472603323,Sub-Saharan Africa,Hybrid Regime,
MWI,2021,5.74,Malawi,12626717492,Sub-Saharan Africa,Hybrid Regime,
MYS,2021,7.24,Malaysia,3.73E+11,East Asia & Pacific,Flawed Democracy,
MLI,2021,3.48,Mali,19140461606,Sub-Saharan Africa,Authoritarian Regime,
MLT,2021,7.57,Malta,17364044944,Middle East & North Africa,Flawed Democracy,
MRT,2021,4.03,Mauritania,9996249658,Sub-Saharan Africa,Hybrid Regime,
MUS,2021,8.08,Mauritius,11529042672,Sub-Saharan Africa,Full Democracy,
MEX,2021,5.57,Mexico,1.27E+12,Latin America & Caribbean,Hybrid Regime,
MDA,2021,6.1,"Moldova, Republic of",13679221333,Europe & Central Asia,Flawed Democracy,
MNG,2021,6.42,Mongolia,15286441818,East Asia & Pacific,Flawed Democracy,
MNE,2021,6.02,Montenegro,5861268039,Europe & Central Asia,Flawed Democracy,
MAR,2021,5.04,Morocco,1.43E+11,Middle East & North Africa,Hybrid Regime,
MOZ,2021,3.51,Mozambique,15776758633,Sub-Saharan Africa,Authoritarian Regime,
MMR,2021,1.02,Myanmar,65091751273,East Asia & Pacific,Authoritarian Regime,
NAM,2021,6.52,Namibia,12310595844,Sub-Saharan Africa,Flawed Democracy,
NPL,2021,4.41,Nepal,36288830373,South Asia,Hybrid Regime,
NLD,2021,8.88,Netherlands,1.01E+12,Europe & Central Asia,Full Democracy,
NZL,2021,9.37,New Zealand,2.50E+11,East Asia & Pacific,Full Democracy,
NIC,2021,2.69,Nicaragua,14013022092,Latin America & Caribbean,Authoritarian Regime,
NER,2021,3.22,Niger,14915001427,Sub-Saharan Africa,Authoritarian Regime,
NGA,2021,4.11,Nigeria,4.41E+11,Sub-Saharan Africa,Hybrid Regime,
PRK,2021,1.08,Korea (Democratic People's Republic of),,East Asia & Pacific,Authoritarian Regime,
MKD,2021,6.03,North Macedonia,13825049832,Europe & Central Asia,Flawed Democracy,
NOR,2021,9.75,Norway,4.82E+11,Europe & Central Asia,Full Democracy,
OMN,2021,3,Oman,88191977373,Middle East & North Africa,Authoritarian Regime,
PAK,2021,4.31,Pakistan,3.48E+11,South Asia,Hybrid Regime,
PSE,2021,3.94,West Bank and Gaza,18036800000,Middle East & North Africa,Authoritarian Regime,
PAN,2021,6.85,Panama,63605100000,Latin America & Caribbean,Flawed Democracy,
PNG,2021,6.1,Papua New Guinea,26594305746,East Asia & Pacific,Flawed Democracy,
PRY,2021,5.86,Paraguay,39495431574,Latin America & Caribbean,Hybrid Regime,
PER,2021,6.09,Peru,2.23E+11,Latin America & Caribbean,Flawed Democracy,
PHL,2021,6.62,Philippines,3.94E+11,East Asia & Pacific,Flawed Democracy,
POL,2021,6.8,Poland,6.79E+11,Europe & Central Asia,Flawed Democracy,
PRT,2021,7.82,Portugal,2.54E+11,Europe & Central Asia,Flawed Democracy,
QAT,2021,3.65,Qatar,1.80E+11,Middle East & North Africa,Authoritarian Regime,
ROU,2021,6.43,Romania,2.84E+11,Europe & Central Asia,Flawed Democracy,
RUS,2021,3.24,Russian Federation,1.78E+12,Europe & Central Asia,Authoritarian Regime,
RWA,2021,3.1,Rwanda,11070356519,Sub-Saharan Africa,Authoritarian Regime,
SAU,2021,2.08,Saudi Arabia,8.34E+11,Middle East & North Africa,Authoritarian Regime,
SEN,2021,5.53,Senegal,27625388352,Sub-Saharan Africa,Hybrid Regime,
SRB,2021,6.36,Serbia,63082047650,Europe & Central Asia,Flawed Democracy,
SLE,2021,4.97,Sierra Leone,4042237864,Sub-Saharan Africa,Hybrid Regime,
SGP,2021,6.23,Singapore,3.97E+11,East Asia & Pacific,Flawed Democracy,
SVK,2021,7.03,Slovakia,1.17E+11,Europe & Central Asia,Flawed Democracy,
SVN,2021,7.54,Slovenia,61748586535,Europe & Central Asia,Flawed Democracy,
ZAF,2021,7.05,South Africa,4.19E+11,Sub-Saharan Africa,Flawed Democracy,
KOR,2021,8.16,"Korea, Republic of",1.81E+12,East Asia & Pacific,Full Democracy,
ESP,2021,7.94,Spain,1.43E+12,Europe & Central Asia,Flawed Democracy,
LKA,2021,6.14,Sri Lanka,88927263725,South Asia,Flawed Democracy,
SDN,2021,2.47,Sudan,34326058557,Sub-Saharan Africa,Authoritarian Regime,
SUR,2021,6.82,Suriname,2984706244,Latin America & Caribbean,Flawed Democracy,
SWE,2021,9.26,Sweden,6.36E+11,Europe & Central Asia,Full Democracy,
CHE,2021,8.9,Switzerland,8.01E+11,Europe & Central Asia,Full Democracy,
SYR,2021,1.43,Syrian Arab Republic,,Middle East & North Africa,Authoritarian Regime,
TJK,2021,1.94,Tajikistan,8746270636,Europe & Central Asia,Authoritarian Regime,
TZA,2021,5.1,"Tanzania, United Republic of",67841049193,Sub-Saharan Africa,Hybrid Regime,
THA,2021,6.04,Thailand,5.06E+11,East Asia & Pacific,Flawed Democracy,
TLS,2021,7.06,Timor-Leste,3621222382,East Asia & Pacific,Flawed Democracy,
TGO,2021,2.8,Togo,8413200568,Sub-Saharan Africa,Authoritarian Regime,
TTO,2021,7.16,Trinidad and Tobago,24460196271,Latin America & Caribbean,Flawed Democracy,
TUN,2021,5.99,Tunisia,46686741814,Middle East & North Africa,Hybrid Regime,
TUR,2021,4.35,TŸrkiye,8.19E+11,Europe & Central Asia,Hybrid Regime,
TKM,2021,1.66,Turkmenistan,,Europe & Central Asia,Authoritarian Regime,
UGA,2021,4.48,Uganda,40529789026,Sub-Saharan Africa,Hybrid Regime,
UKR,2021,5.57,Ukraine,2.00E+11,Europe & Central Asia,Hybrid Regime,
ARE,2021,2.9,United Arab Emirates,4.15E+11,Middle East & North Africa,Authoritarian Regime,
GBR,2021,8.1,United Kingdom of Great Britain and Northern Ireland,3.13E+12,Europe & Central Asia,Full Democracy,
USA,2021,7.85,United States of America,2.33E+13,North America,Flawed Democracy,
URY,2021,8.85,Uruguay,59319484711,Latin America & Caribbean,Full Democracy,
UZB,2021,2.12,Uzbekistan,69238903106,Europe & Central Asia,Authoritarian Regime,
VEN,2021,2.11,Venezuela (Bolivarian Republic of),,Latin America & Caribbean,Authoritarian Regime,
VNM,2021,2.94,Viet Nam,3.66E+11,East Asia & Pacific,Authoritarian Regime,
YEM,2021,1.95,Yemen,,Middle East & North Africa,Authoritarian Regime,
ZMB,2021,5.72,Zambia,22147634727,Sub-Saharan Africa,Hybrid Regime,
ZWE,2021,2.92,Zimbabwe,28371238666,Sub-Saharan Africa,Authoritarian Regime,
