State,Population,Type1,Value
Idaho,,Naturalizations,1537
Idaho,,Refugees,269
Idaho,,Asylees,23
Idaho,1900923,Migration,1.31
Illinois,,Lawful Permanent Residents,26228
Illinois,,Nonimmigrants,341868
Illinois,,Naturalizations,22684
Illinois,,Refugees,372
Illinois,,Asylees,1036
Illinois,12671469,Migration,3.1
Indiana,,Lawful Permanent Residents,7223
Indiana,,Nonimmigrants,77584
Indiana,,Naturalizations,6112
Indiana,,Refugees,202
Indiana,,Asylees,378
Indiana,6805985,Migration,1.34
Iowa,,Lawful Permanent Residents,3450
Iowa,,Nonimmigrants,26690
Iowa,,Naturalizations,3304
Iowa,,Refugees,245
Iowa,,Asylees,35
Iowa,3193079,Migration,1.06
Kansas,,Lawful Permanent Residents,3399
Kansas,,Nonimmigrants,28612
Kansas,,Naturalizations,2961
Kansas,,Refugees,167
Kansas,,Asylees,39
Kansas,2934582,Migration,1.2
Kentucky,,Lawful Permanent Residents,4401
Kentucky,,Nonimmigrants,41308
Kentucky,,Naturalizations,5047
Kentucky,,Refugees,669
Kentucky,,Asylees,72
Kentucky,4509394,Migration,1.14
Louisiana,,Lawful Permanent Residents,3137
Louisiana,,Nonimmigrants,71089
Louisiana,,Naturalizations,2338
Louisiana,,Refugees,7
Louisiana,,Asylees,514
Louisiana,4624047,Migration,1.67
Maine,,Lawful Permanent Residents,899
Maine,,Nonimmigrants,34573
Maine,,Naturalizations,1153
Maine,,Refugees,40
Maine,,Asylees,43
Maine,1372247,Migration,2.68
Maryland,,Lawful Permanent Residents,17284
Maryland,,Nonimmigrants,118418
Maryland,,Naturalizations,19797
Maryland,,Refugees,282
Maryland,,Asylees,1171
Maryland,6165129,Migration,2.55
Massachusetts,,Lawful Permanent Residents,22431
Massachusetts,,Nonimmigrants,232671
Massachusetts,,Naturalizations,24085
Massachusetts,,Refugees,230
Massachusetts,,Asylees,450
Massachusetts,6984723,Migration,4.01
Michigan,,Lawful Permanent Residents,13929
Michigan,,Nonimmigrants,367311
Michigan,,Naturalizations,11716
Michigan,,Refugees,534
Michigan,,Asylees,191
Michigan,10050811,Migration,3.92
Minnesota,,Lawful Permanent Residents,8774
Minnesota,,Nonimmigrants,60045
Minnesota,,Naturalizations,9400
Minnesota,,Refugees,273
Minnesota,,Asylees,240
Minnesota,5707390,Migration,1.38
Mississippi,,Lawful Permanent Residents,1165
Mississippi,,Nonimmigrants,23049
Mississippi,,Naturalizations,951
Mississippi,,Refugees,0
Mississippi,,Asylees,71
Mississippi,2949965,Migration,0.86
Missouri,,Lawful Permanent Residents,5002
Missouri,,Nonimmigrants,46900
Missouri,,Naturalizations,4540
Missouri,,Refugees,290
Missouri,,Asylees,91
Missouri,6168187,Migration,0.92
Montana,,Lawful Permanent Residents,404
Montana,,Nonimmigrants,13403
Montana,,Naturalizations,456
Montana,,Refugees,39
Montana,,Asylees,4
Montana,1104271,Migration,1.3
Nebraska,,Lawful Permanent Residents,2915
Nebraska,,Nonimmigrants,76023
Nebraska,,Naturalizations,2655
Nebraska,,Refugees,125
Nebraska,,Asylees,51
Nebraska,1963692,Migration,4.16
Nevada,,Lawful Permanent Residents,7290
Nevada,,Nonimmigrants,251956
Nevada,,Naturalizations,8061
Nevada,,Refugees,97
Nevada,,Asylees,108
Nevada,3143991,Migration,8.51
New Hampshire,,Lawful Permanent Residents,1675
New Hampshire,,Nonimmigrants,13539
New Hampshire,,Naturalizations,1960
New Hampshire,,Refugees,59
New Hampshire,,Asylees,14
New Hampshire,1388992,Migration,1.24
New Jersey,,Lawful Permanent Residents,37844
New Jersey,,Nonimmigrants,364637
New Jersey,,Naturalizations,39953
New Jersey,,Refugees,72
New Jersey,,Asylees,661
New Jersey,9267130,Migration,4.78
New Mexico,,Lawful Permanent Residents,2821
New Mexico,,Nonimmigrants,28707
New Mexico,,Naturalizations,2556
New Mexico,,Refugees,36
New Mexico,,Asylees,33
New Mexico,2115877,Migration,1.61
New York,,Lawful Permanent Residents,76127
New York,,Nonimmigrants,1183339
New York,,Naturalizations,89989
New York,,Refugees,710
New York,,Asylees,1954
New York,19835913,Migration,6.82
North Carolina,,Lawful Permanent Residents,15732
North Carolina,,Nonimmigrants,164368
North Carolina,,Naturalizations,13173
North Carolina,,Refugees,502
North Carolina,,Asylees,259
North Carolina,10551162,Migration,1.84
North Dakota,,Lawful Permanent Residents,996
North Dakota,,Nonimmigrants,11443
North Dakota,,Naturalizations,1324
North Dakota,,Refugees,30
North Dakota,,Asylees,4
North Dakota,774948,Migration,1.78
Ohio,,Lawful Permanent Residents,11932
Ohio,,Nonimmigrants,104930
Ohio,,Naturalizations,11284
Ohio,,Refugees,453
Ohio,,Asylees,337
Ohio,11780017,Migration,1.09
Oklahoma,,Lawful Permanent Residents,3703
Oklahoma,,Nonimmigrants,32595
Oklahoma,,Naturalizations,3695
Oklahoma,,Refugees,25
Oklahoma,,Asylees,26
Oklahoma,3986639,Migration,1
Oregon,,Lawful Permanent Residents,6381
Oregon,,Nonimmigrants,63444
Oregon,,Naturalizations,6422
Oregon,,Refugees,138
Oregon,,Asylees,34
Oregon,4246155,Migration,1.8
Pennsylvania,,Lawful Permanent Residents,17306
Pennsylvania,,Nonimmigrants,159304
Pennsylvania,,Naturalizations,19693
Pennsylvania,,Refugees,402
Pennsylvania,,Asylees,460
Pennsylvania,12964056,Migration,1.52
Puerto Rico,,Lawful Permanent Residents,1326
Puerto Rico,,Nonimmigrants,30833
Puerto Rico,,Naturalizations,1174
Puerto Rico,,Refugees,0
Puerto Rico,,Asylees,11
Puerto Rico,3263584,Migration,1.02
Rhode Island,,Lawful Permanent Residents,2218
Rhode Island,,Nonimmigrants,18613
Rhode Island,,Naturalizations,2979
Rhode Island,,Refugees,47
Rhode Island,,Asylees,41
Rhode Island,1095610,Migration,2.18
South Carolina,,Lawful Permanent Residents,4378
South Carolina,,Nonimmigrants,56713
South Carolina,,Naturalizations,2544
South Carolina,,Refugees,99
South Carolina,,Asylees,37
South Carolina,5190705,Migration,1.23
South Dakota,,Lawful Permanent Residents,681
South Dakota,,Nonimmigrants,7640
South Dakota,,Naturalizations,960
South Dakota,,Refugees,51
South Dakota,,Asylees,10
South Dakota,895376,Migration,1.04
Tennessee,,Lawful Permanent Residents,7277
Tennessee,,Nonimmigrants,75300
Tennessee,,Naturalizations,4625
Tennessee,,Refugees,315
Tennessee,,Asylees,78
Tennessee,6975218,Migration,1.26
Texas,,Lawful Permanent Residents,78873
Texas,,Nonimmigrants,2002632
Texas,,Naturalizations,77025
Texas,,Refugees,929
Texas,,Asylees,803
Texas,29527941,Migration,7.32
Utah,,Lawful Permanent Residents,5552
Utah,,Nonimmigrants,65486
Utah,,Naturalizations,3961
Utah,,Refugees,183
Utah,,Asylees,225
Utah,3337975,Migration,2.26
Vermont,,Lawful Permanent Residents,423
Vermont,,Nonimmigrants,12962
Vermont,,Naturalizations,591
Vermont,,Refugees,47
Vermont,,Asylees,N/A
Vermont,645570,Migration,2.17
Virginia,,Lawful Permanent Residents,20428
Virginia,,Nonimmigrants,152928
Virginia,,Naturalizations,20732
Virginia,,Refugees,272
Virginia,,Asylees,777
Virginia,8642274,Migration,2.26
Washington,,Lawful Permanent Residents,22145
Washington,,Nonimmigrants,243103
Washington,,Naturalizations,19511
Washington,,Refugees,480
Washington,,Asylees,335
Washington,7738692,Migration,3.69
West Virginia,,Lawful Permanent Residents,494
West Virginia,,Nonimmigrants,8205
West Virginia,,Naturalizations,486
West Virginia,,Refugees,N/A
West Virginia,,Asylees,5
West Virginia,1782959,Migration,0.52
Wisconsin,,Lawful Permanent Residents,5025
Wisconsin,,Nonimmigrants,49929
Wisconsin,,Naturalizations,5029
Wisconsin,,Refugees,371
Wisconsin,,Asylees,146
Wisconsin,5895908,Migration,1.03
Wyoming,,Lawful Permanent Residents,280
Wyoming,,Nonimmigrants,5827
Wyoming,,Naturalizations,227
Wyoming,,Refugees,0
Wyoming,,Asylees,0
Wyoming,578803,Migration,1.09
