Year,Type,Value,,,,,,,,,,,,,
2016,Revenues,"3,268.0",,,,,,,,,,,,,
2017,Revenues,"3,316.2",,,,,,,,,,,,,
2018,Revenues,"3,329.9",,,,,,,,,,,,,
2019,Revenues,"3,463.4",,,,,,,,,,,,,
2020,Revenues,"3,421.2",,,,,,,,,,,,,
2021,Revenues,"4,047.1",,,,,,,,,,,,,
2022,Revenues,"4,896.1",,,,,,,,,,,,,
1962,Outlays,106.8,,,,,,,,,,,,,
1963,Outlays,111.3,,,,,,,,,,,,,
1964,Outlays,118.5,,,,,,,,,,,,,
1965,Outlays,118.2,,,,,,,,,,,,,
1966,Outlays,134.5,,,,,,,,,,,,,
1967,Outlays,157.5,,,,,,,,,,,,,
1968,Outlays,178.1,,,,,,,,,,,,,
1969,Outlays,183.6,,,,,,,,,,,,,
1970,Outlays,195.6,,,,,,,,,,,,,
1971,Outlays,210.2,,,,,,,,,,,,,
1972,Outlays,230.7,,,,,,,,,,,,,
1973,Outlays,245.7,,,,,,,,,,,,,
1974,Outlays,269.4,,,,,,,,,,,,,
1975,Outlays,332.3,,,,,,,,,,,,,
1976,Outlays,371.8,,,,,,,,,,,,,
1977,Outlays,409.2,,,,,,,,,,,,,
1978,Outlays,458.7,,,,,,,,,,,,,
1979,Outlays,504.0,,,,,,,,,,,,,
1980,Outlays,590.9,,,,,,,,,,,,,
1981,Outlays,678.2,,,,,,,,,,,,,
1982,Outlays,745.7,,,,,,,,,,,,,
1983,Outlays,808.4,,,,,,,,,,,,,
1984,Outlays,851.8,,,,,,,,,,,,,
1985,Outlays,946.3,,,,,,,,,,,,,
1986,Outlays,990.4,,,,,,,,,,,,,
1987,Outlays,"1,004.0",,,,,,,,,,,,,
1988,Outlays,"1,064.4",,,,,,,,,,,,,
1989,Outlays,"1,143.7",,,,,,,,,,,,,
1990,Outlays,"1,253.0",,,,,,,,,,,,,
1991,Outlays,"1,324.2",,,,,,,,,,,,,
1992,Outlays,"1,381.5",,,,,,,,,,,,,
1993,Outlays,"1,409.4",,,,,,,,,,,,,
1994,Outlays,"1,461.8",,,,,,,,,,,,,
1995,Outlays,"1,515.7",,,,,,,,,,,,,
1996,Outlays,"1,560.5",,,,,,,,,,,,,
1997,Outlays,"1,601.1",,,,,,,,,,,,,
1998,Outlays,"1,652.5",,,,,,,,,,,,,
1999,Outlays,"1,701.8",,,,,,,,,,,,,
2000,Outlays,"1,789.0",,,,,,,,,,,,,
2001,Outlays,"1,862.8",,,,,,,,,,,,,
2002,Outlays,"2,010.9",,,,,,,,,,,,,
2003,Outlays,"2,159.9",,,,,,,,,,,,,
2004,Outlays,"2,292.8",,,,,,,,,,,,,
2005,Outlays,"2,472.0",,,,,,,,,,,,,
2006,Outlays,"2,655.1",,,,,,,,,,,,,
2007,Outlays,"2,728.7",,,,,,,,,,,,,
2008,Outlays,"2,982.5",,,,,,,,,,,,,
2009,Outlays,"3,517.7",,,,,,,,,,,,,
2010,Outlays,"3,457.1",,,,,,,,,,,,,
2011,Outlays,"3,603.1",,,,,,,,,,,,,
2012,Outlays,"3,526.6",,,,,,,,,,,,,
2013,Outlays,"3,454.9",,,,,,,,,,,,,
2014,Outlays,"3,506.3",,,,,,,,,,,,,
2015,Outlays,"3,691.9",,,,,,,,,,,,,
2016,Outlays,"3,852.6",,,,,,,,,,,,,
2017,Outlays,"3,981.6",,,,,,,,,,,,,
2018,Outlays,"4,109.0",,,,,,,,,,,,,
2019,Outlays,"4,447.0",,,,,,,,,,,,,
2020,Outlays,"6,553.6",,,,,,,,,,,,,
2021,Outlays,"6,822.4",,,,,,,,,,,,,
2022,Outlays,"6,271.5",,,,,,,,,,,,,
