Date,Growth Rate,Sector
Oct-06,2.9,Public Sector
Nov-06,2.7,Public Sector
Dec-06,3.2,Public Sector
Jan-07,3.6,Public Sector
Feb-07,2.6,Public Sector
Mar-07,3.6,Public Sector
Apr-07,3.2,Public Sector
May-07,3.7,Public Sector
Jun-07,3.4,Public Sector
Jul-07,2.8,Public Sector
Aug-07,3.4,Public Sector
Sep-07,3.4,Public Sector
Oct-07,3.1,Public Sector
Nov-07,3.3,Public Sector
Dec-07,3.3,Public Sector
Jan-08,2.9,Public Sector
Feb-08,3.7,Public Sector
Mar-08,3.6,Public Sector
Apr-08,4.2,Public Sector
May-08,3.3,Public Sector
Jun-08,2.7,Public Sector
Jul-08,4.2,Public Sector
Aug-08,3.7,Public Sector
Sep-08,3.8,Public Sector
Oct-08,3.7,Public Sector
Nov-08,3.7,Public Sector
Dec-08,3.2,Public Sector
Jan-09,3,Public Sector
Feb-09,3.1,Public Sector
Mar-09,2,Public Sector
Apr-09,3,Public Sector
May-09,2.8,Public Sector
Jun-09,4,Public Sector
Jul-09,3.4,Public Sector
Aug-09,3.6,Public Sector
Sep-09,3.7,Public Sector
Oct-09,3.7,Public Sector
Nov-09,3.8,Public Sector
Dec-09,3.3,Public Sector
Jan-10,4,Public Sector
Feb-10,3.9,Public Sector
Mar-10,5.6,Public Sector
Apr-10,3.4,Public Sector
May-10,4.3,Public Sector
Jun-10,3.2,Public Sector
Jul-10,2.7,Public Sector
Aug-10,2.7,Public Sector
Sep-10,2.7,Public Sector
Oct-10,2.9,Public Sector
Nov-10,2.8,Public Sector
Dec-10,3.8,Public Sector
Jan-11,3.6,Public Sector
Feb-11,2.8,Public Sector
Mar-11,2.7,Public Sector
Apr-11,2.7,Public Sector
May-11,2.2,Public Sector
Jun-11,3.5,Public Sector
Jul-11,3.6,Public Sector
Aug-11,2.3,Public Sector
Sep-11,2,Public Sector
Oct-11,1.9,Public Sector
Nov-11,1.7,Public Sector
Dec-11,1.3,Public Sector
Jan-12,0.7,Public Sector
Feb-12,1.3,Public Sector
Mar-12,0.9,Public Sector
Apr-12,1.4,Public Sector
May-12,1.7,Public Sector
Jun-12,0.9,Public Sector
Jul-12,1,Public Sector
Aug-12,3.6,Public Sector
Sep-12,2.3,Public Sector
Oct-12,2,Public Sector
Nov-12,1.9,Public Sector
Dec-12,2,Public Sector
Jan-13,1.9,Public Sector
Feb-13,1,Public Sector
Mar-13,1.3,Public Sector
Apr-13,1.4,Public Sector
May-13,1.4,Public Sector
Jun-13,-0.2,Public Sector
Jul-13,0.1,Public Sector
Aug-13,-1.5,Public Sector
Sep-13,-0.4,Public Sector
Oct-13,-0.1,Public Sector
Nov-13,-0.1,Public Sector
Dec-13,-0.1,Public Sector
Jan-14,-0.2,Public Sector
Feb-14,0.5,Public Sector
Mar-14,1.8,Public Sector
Apr-14,0,Public Sector
May-14,-0.1,Public Sector
Jun-14,1.4,Public Sector
Jul-14,0.9,Public Sector
Aug-14,0.6,Public Sector
Sep-14,0.9,Public Sector
Oct-14,0.6,Public Sector
Nov-14,0.6,Public Sector
Dec-14,1,Public Sector
Jan-15,0.8,Public Sector
Feb-15,1,Public Sector
Mar-15,-0.8,Public Sector
Apr-15,0.9,Public Sector
May-15,1.1,Public Sector
Jun-15,0.8,Public Sector
Jul-15,0.9,Public Sector
Aug-15,1.2,Public Sector
Sep-15,1.8,Public Sector
Oct-15,1.3,Public Sector
Nov-15,1.5,Public Sector
Dec-15,0.9,Public Sector
Jan-16,1.6,Public Sector
Feb-16,1.5,Public Sector
Mar-16,1.6,Public Sector
Apr-16,1.9,Public Sector
May-16,1.4,Public Sector
Jun-16,2,Public Sector
Jul-16,1.3,Public Sector
Aug-16,2.1,Public Sector
Sep-16,1,Public Sector
Oct-16,1.4,Public Sector
Nov-16,1.4,Public Sector
Dec-16,1.6,Public Sector
Jan-17,1.2,Public Sector
Feb-17,1.1,Public Sector
Mar-17,1.4,Public Sector
Apr-17,0.8,Public Sector
May-17,2,Public Sector
Jun-17,1.1,Public Sector
Jul-17,1.7,Public Sector
Aug-17,1.7,Public Sector
Sep-17,1.7,Public Sector
Oct-17,2.2,Public Sector
Nov-17,1.8,Public Sector
Dec-17,2,Public Sector
Jan-18,2.3,Public Sector
Feb-18,2.6,Public Sector
Mar-18,2.2,Public Sector
Apr-18,2.4,Public Sector
May-18,1.7,Public Sector
Jun-18,2.5,Public Sector
Jul-18,3,Public Sector
Aug-18,2.8,Public Sector
Sep-18,2.7,Public Sector
Oct-18,2.7,Public Sector
Nov-18,2.9,Public Sector
Dec-18,2.8,Public Sector
Jan-19,2.7,Public Sector
Feb-19,2.3,Public Sector
Mar-19,2.6,Public Sector
Apr-19,4.5,Public Sector
May-19,3.8,Public Sector
Jun-19,3.8,Public Sector
Jul-19,3.8,Public Sector
Aug-19,2.8,Public Sector
Sep-19,3.4,Public Sector
Oct-19,3.2,Public Sector
Nov-19,3.3,Public Sector
Dec-19,3.3,Public Sector
Jan-20,3,Public Sector
Feb-20,3.5,Public Sector
Mar-20,3.3,Public Sector
Apr-20,3,Public Sector
May-20,4.7,Public Sector
Jun-20,4.6,Public Sector
Jul-20,3.1,Public Sector
Aug-20,3.9,Public Sector
Sep-20,4.5,Public Sector
Oct-20,4,Public Sector
Nov-20,4.5,Public Sector
Dec-20,4.5,Public Sector
Jan-21,5.3,Public Sector
Feb-21,5.7,Public Sector
Mar-21,5.4,Public Sector
Apr-21,3.7,Public Sector
May-21,2.6,Public Sector
Jun-21,2.1,Public Sector
Jul-21,2.8,Public Sector
Aug-21,2.8,Public Sector
Sep-21,2.3,Public Sector
Oct-21,2.9,Public Sector
Nov-21,2.4,Public Sector
Dec-21,2.5,Public Sector
Jan-22,1.9,Public Sector
Feb-22,1.3,Public Sector
Mar-22,1.5,Public Sector
Apr-22,1.6,Public Sector
May-22,1.4,Public Sector
Jun-22,2.3,Public Sector
Jul-22,2.3,Public Sector
Aug-22,2.7,Public Sector
Sep-22,2.2,Public Sector
Oct-22,3.8,Public Sector
Jan-01,6.1,Private Sector
Feb-01,9.6,Private Sector
Mar-01,4.9,Private Sector
Apr-01,5.8,Private Sector
May-01,4.7,Private Sector
Jun-01,5.8,Private Sector
Jul-01,4.7,Private Sector
Aug-01,4.7,Private Sector
Sep-01,4.1,Private Sector
Oct-01,4.4,Private Sector
Nov-01,4.2,Private Sector
Dec-01,2.8,Private Sector
Jan-02,3.4,Private Sector
Feb-02,2.6,Private Sector
Mar-02,2.8,Private Sector
Apr-02,3.2,Private Sector
May-02,3.7,Private Sector
Jun-02,3.7,Private Sector
Jul-02,3.8,Private Sector
Aug-02,3.3,Private Sector
Sep-02,3.2,Private Sector
Oct-02,2.6,Private Sector
Nov-02,2.5,Private Sector
Dec-02,1.8,Private Sector
Jan-03,2,Private Sector
Feb-03,1.7,Private Sector
Mar-03,4.3,Private Sector
Apr-03,2.6,Private Sector
May-03,2.6,Private Sector
Jun-03,2,Private Sector
Jul-03,2.2,Private Sector
Aug-03,2.4,Private Sector
Sep-03,3,Private Sector
Oct-03,3.6,Private Sector
Nov-03,3.4,Private Sector
Dec-03,3.8,Private Sector
Jan-04,4.2,Private Sector
Feb-04,3,Private Sector
Mar-04,3.7,Private Sector
Apr-04,4.1,Private Sector
May-04,4.3,Private Sector
Jun-04,4.2,Private Sector
Jul-04,4.6,Private Sector
Aug-04,4.5,Private Sector
Sep-04,4.7,Private Sector
Oct-04,4.9,Private Sector
Nov-04,4.7,Private Sector
Dec-04,5,Private Sector
Jan-05,4.5,Private Sector
Feb-05,5.7,Private Sector
Mar-05,4.3,Private Sector
Apr-05,3.9,Private Sector
May-05,3.7,Private Sector
Jun-05,4.2,Private Sector
Jul-05,4.4,Private Sector
Aug-05,5,Private Sector
Sep-05,4.6,Private Sector
Oct-05,4,Private Sector
Nov-05,4.6,Private Sector
Dec-05,4.1,Private Sector
Jan-06,3.4,Private Sector
Feb-06,5.8,Private Sector
Mar-06,5.8,Private Sector
Apr-06,5.3,Private Sector
May-06,5.2,Private Sector
Jun-06,6,Private Sector
Jul-06,4.9,Private Sector
Aug-06,4,Private Sector
Sep-06,4,Private Sector
Oct-06,4.8,Private Sector
Nov-06,4.7,Private Sector
Dec-06,6.5,Private Sector
Jan-07,7.2,Private Sector
Feb-07,7.9,Private Sector
Mar-07,4.6,Private Sector
Apr-07,4.7,Private Sector
May-07,5,Private Sector
Jun-07,4.5,Private Sector
Jul-07,5.3,Private Sector
Aug-07,5.6,Private Sector
Sep-07,6.1,Private Sector
Oct-07,4.6,Private Sector
Nov-07,5.1,Private Sector
Dec-07,3.2,Private Sector
Jan-08,4,Private Sector
Feb-08,4.1,Private Sector
Mar-08,5.3,Private Sector
Apr-08,4.7,Private Sector
May-08,4.5,Private Sector
Jun-08,3.7,Private Sector
Jul-08,3.1,Private Sector
Aug-08,2.9,Private Sector
Sep-08,2.4,Private Sector
Oct-08,3.3,Private Sector
Nov-08,2.1,Private Sector
Dec-08,2.4,Private Sector
Jan-09,1.2,Private Sector
Feb-09,-5.2,Private Sector
Mar-09,-6.4,Private Sector
Apr-09,0.9,Private Sector
May-09,0,Private Sector
Jun-09,0.1,Private Sector
Jul-09,-0.4,Private Sector
Aug-09,-0.3,Private Sector
Sep-09,-0.6,Private Sector
Oct-09,-0.7,Private Sector
Nov-09,-0.5,Private Sector
Dec-09,-0.3,Private Sector
Jan-10,-0.1,Private Sector
Feb-10,5.9,Private Sector
Mar-10,7.3,Private Sector
Apr-10,-0.4,Private Sector
May-10,0.8,Private Sector
Jun-10,0,Private Sector
Jul-10,1.4,Private Sector
Aug-10,1.7,Private Sector
Sep-10,2,Private Sector
Oct-10,1.8,Private Sector
Nov-10,1.9,Private Sector
Dec-10,1.1,Private Sector
Jan-11,4.7,Private Sector
Feb-11,1.1,Private Sector
Mar-11,2.4,Private Sector
Apr-11,2.2,Private Sector
May-11,2.2,Private Sector
Jun-11,3.3,Private Sector
Jul-11,2.7,Private Sector
Aug-11,1.9,Private Sector
Sep-11,1.7,Private Sector
Oct-11,2.1,Private Sector
Nov-11,2.1,Private Sector
Dec-11,2.3,Private Sector
Jan-12,-0.4,Private Sector
Feb-12,0.8,Private Sector
Mar-12,1,Private Sector
Apr-12,2.3,Private Sector
May-12,1.7,Private Sector
Jun-12,1.6,Private Sector
Jul-12,1.7,Private Sector
Aug-12,2,Private Sector
Sep-12,1.7,Private Sector
Oct-12,1.1,Private Sector
Nov-12,1.4,Private Sector
Dec-12,1.1,Private Sector
Jan-13,0.9,Private Sector
Feb-13,1.3,Private Sector
Mar-13,-0.6,Private Sector
Apr-13,4.2,Private Sector
May-13,1.9,Private Sector
Jun-13,1.3,Private Sector
Jul-13,0.8,Private Sector
Aug-13,1,Private Sector
Sep-13,1.1,Private Sector
Oct-13,1.3,Private Sector
Nov-13,0.9,Private Sector
Dec-13,1.9,Private Sector
Jan-14,1.8,Private Sector
Feb-14,2.4,Private Sector
Mar-14,1.2,Private Sector
Apr-14,-1.7,Private Sector
May-14,0.5,Private Sector
Jun-14,1.5,Private Sector
Jul-14,0.4,Private Sector
Aug-14,0.9,Private Sector
Sep-14,1.8,Private Sector
Oct-14,2.3,Private Sector
Nov-14,2.2,Private Sector
Dec-14,2.7,Private Sector
Jan-15,1.7,Private Sector
Feb-15,1.6,Private Sector
Mar-15,5.2,Private Sector
Apr-15,3,Private Sector
May-15,3.1,Private Sector
Jun-15,2.5,Private Sector
Jul-15,4.2,Private Sector
Aug-15,3.6,Private Sector
Sep-15,2.2,Private Sector
Oct-15,2,Private Sector
Nov-15,2.2,Private Sector
Dec-15,2,Private Sector
Jan-16,3.2,Private Sector
Feb-16,1.6,Private Sector
Mar-16,2.7,Private Sector
Apr-16,2.7,Private Sector
May-16,2.6,Private Sector
Jun-16,2.5,Private Sector
Jul-16,2.8,Private Sector
Aug-16,2.1,Private Sector
Sep-16,2.8,Private Sector
Oct-16,3,Private Sector
Nov-16,3.2,Private Sector
Dec-16,1.9,Private Sector
Jan-17,1.8,Private Sector
Feb-17,3.1,Private Sector
Mar-17,2.4,Private Sector
Apr-17,2,Private Sector
May-17,2.1,Private Sector
Jun-17,3.4,Private Sector
Jul-17,1.6,Private Sector
Aug-17,2.6,Private Sector
Sep-17,3.1,Private Sector
Oct-17,2.4,Private Sector
Nov-17,2.4,Private Sector
Dec-17,3.4,Private Sector
Jan-18,2.7,Private Sector
Feb-18,2.7,Private Sector
Mar-18,3.5,Private Sector
Apr-18,2.2,Private Sector
May-18,2.6,Private Sector
Jun-18,1.9,Private Sector
Jul-18,3.4,Private Sector
Aug-18,3.4,Private Sector
Sep-18,2.8,Private Sector
Oct-18,4.5,Private Sector
Nov-18,3.2,Private Sector
Dec-18,3.3,Private Sector
Jan-19,3.9,Private Sector
Feb-19,3.8,Private Sector
Mar-19,2.6,Private Sector
Apr-19,3.8,Private Sector
May-19,3.9,Private Sector
Jun-19,3.9,Private Sector
Jul-19,4.1,Private Sector
Aug-19,3.7,Private Sector
Sep-19,4,Private Sector
Oct-19,2.1,Private Sector
Nov-19,3.1,Private Sector
Dec-19,2.5,Private Sector
Jan-20,3,Private Sector
Feb-20,2.6,Private Sector
Mar-20,1.2,Private Sector
Apr-20,-2.1,Private Sector
May-20,-2.7,Private Sector
Jun-20,-2.7,Private Sector
Jul-20,-0.9,Private Sector
Aug-20,1.4,Private Sector
Sep-20,2,Private Sector
Oct-20,3.7,Private Sector
Nov-20,5.2,Private Sector
Dec-20,4.6,Private Sector
Jan-21,4.4,Private Sector
Feb-21,3.9,Private Sector
Mar-21,3.5,Private Sector
Apr-21,10.3,Private Sector
May-21,10.4,Private Sector
Jun-21,10.5,Private Sector
Jul-21,8.2,Private Sector
Aug-21,6.3,Private Sector
Sep-21,5.3,Private Sector
Oct-21,4.7,Private Sector
Nov-21,3.8,Private Sector
Dec-21,6.6,Private Sector
Jan-22,6,Private Sector
Feb-22,6.8,Private Sector
Mar-22,11.5,Private Sector
Apr-22,5.8,Private Sector
May-22,5,Private Sector
Jun-22,7.3,Private Sector
Jul-22,6.6,Private Sector
Aug-22,6.7,Private Sector
Sep-22,7,Private Sector
Oct-22,6.7,Private Sector
